0.01 0
0.11 -0.0821705
0.21 -0.10007
0.31 -0.12903
0.41 -0.160513
0.51 -0.192259
0.61 -0.223322
0.71 -0.253162
0.81 -0.281401
0.91 -0.307745
1.01 -0.331949
1.11 -0.353806
1.21 -0.373142
1.31 -0.389807
1.41 -0.403681
1.51 -0.414668
1.61 -0.422699
1.71 -0.42773
1.81 -0.429742
1.91 -0.428743
2.01 -0.424764
2.11 -0.417863
2.21 -0.408118
2.31 -0.395634
2.41 -0.380534
2.51 -0.362965
2.61 -0.343091
2.71 -0.321094
2.81 -0.297173
2.91 -0.27154
3.01 -0.244422
3.11 -0.216053
3.21 -0.186677
3.31 -0.156544
3.41 -0.125907
3.51 -0.0950235
3.61 -0.0641474
3.71 -0.0335314
3.81 -0.0034234
3.91 0.0259358
4.01 0.0543142
4.11 0.0814907
4.21 0.107257
4.31 0.131419
4.41 0.153798
4.51 0.174234
4.61 0.192584
4.71 0.208726
4.81 0.222558
4.91 0.234
5.01 0.242993
5.11 0.249499
5.21 0.253505
5.31 0.255018
5.41 0.254069
5.51 0.250707
5.61 0.245004
5.71 0.237053
5.81 0.226965
5.91 0.214866
6.01 0.200902
6.11 0.185233
6.21 0.168032
6.31 0.149483
6.41 0.129782
6.51 0.109129
6.61 0.0877356
6.71 0.0658128
6.81 0.0435761
6.91 0.0212407
7.01 -0.000980095
7.11 -0.0228766
7.21 -0.0442447
7.31 -0.0648879
7.41 -0.0846187
7.51 -0.10326
7.61 -0.120649
7.71 -0.136633
7.81 -0.151078
7.91 -0.163863
8.01 -0.174887
8.11 -0.184065
8.21 -0.19133
8.31 -0.196635
8.41 -0.199952
8.51 -0.201272
8.61 -0.200604
8.71 -0.197979
8.81 -0.193442
8.91 -0.187059
9.01 -0.178913
9.11 -0.1691
9.21 -0.157734
9.31 -0.144942
9.41 -0.130863
9.51 -0.115647
9.61 -0.0994529
9.71 -0.0824488
9.81 -0.064808
9.91 -0.0467086
