0 0.999 0.001 8.67362e-19
1 0.99838 0.00152087 9.93675e-05
2 0.997437 0.00231214 0.000250463
3 0.996007 0.00351305 0.000480104
4 0.993838 0.00533297 0.000828866
5 0.990557 0.00808484 0.00135795
6 0.985609 0.0122319 0.00215924
7 0.978181 0.0184497 0.00336969
8 0.967107 0.0277016 0.00519132
9 0.950771 0.0413122 0.00791721
10 0.927035 0.0610027 0.0119623
11 0.893303 0.0888043 0.0178931
12 0.846834 0.126725 0.0264407
13 0.785483 0.176043 0.0384741
14 0.708845 0.236254 0.0549005
15 0.619404 0.304114 0.0764817
16 0.522827 0.37357 0.103603
17 0.426739 0.437166 0.136096
18 0.338379 0.488405 0.173217
19 0.262556 0.523634 0.21381
20 0.200999 0.542443 0.256558
21 0.153003 0.546782 0.300215
22 0.116565 0.539696 0.343739
23 0.0893146 0.524339 0.386347
24 0.0690649 0.503448 0.427487
25 0.0540168 0.479174 0.466809
26 0.0427848 0.453107 0.504108
27 0.0343399 0.426371 0.539289
28 0.0279328 0.399736 0.572331
29 0.0230226 0.373714 0.603263
30 0.0192197 0.34863 0.63215
31 0.0162429 0.324682 0.659075
32 0.0138883 0.301979 0.684133
33 0.0120067 0.280567 0.707426
34 0.0104883 0.260454 0.729058
35 0.00925161 0.241616 0.749132
36 0.00823539 0.224015 0.76775
37 0.00739338 0.2076 0.785007
38 0.00669026 0.192314 0.800996
39 0.0060988 0.178096 0.815805
40 0.00559788 0.164884 0.829518
41 0.00517092 0.152617 0.842212
42 0.00480484 0.141235 0.85396
43 0.00448922 0.130679 0.864832
44 0.0042157 0.120895 0.87489
45 0.00397754 0.111829 0.884194
46 0.00376925 0.103431 0.8928
47 0.00358633 0.0956544 0.900759
48 0.00342508 0.0884549 0.90812
49 0.00328243 0.0817912 0.914926
50 0.00315583 0.0756244 0.92122
51 0.00304312 0.0699183 0.927039
52 0.00294251 0.0646394 0.932418
53 0.00285245 0.0597561 0.937391
54 0.00277166 0.0552395 0.941989
55 0.002699 0.0510622 0.946239
56 0.00263354 0.0471992 0.950167
57 0.00257445 0.0436272 0.953798
58 0.00252101 0.0403243 0.957155
59 0.0024726 0.0372705 0.960257
60 0.00242868 0.0344472 0.963124
61 0.00238879 0.0318371 0.965774
62 0.0023525 0.0294242 0.968223
63 0.00231945 0.0271937 0.970487
64 0.00228933 0.0251319 0.972579
65 0.00226183 0.023226 0.974512
66 0.00223671 0.0214645 0.976299
67 0.00221375 0.0198362 0.97795
68 0.00219274 0.0183313 0.979476
69 0.0021735 0.0169404 0.980886
70 0.00215587 0.0156549 0.982189
71 0.0021397 0.0144669 0.983393
72 0.00212487 0.0133688 0.984506
73 0.00211126 0.0123541 0.985535
74 0.00209875 0.0114163 0.986485
75 0.00208727 0.0105496 0.987363
76 0.00207671 0.00974862 0.988175
77 0.002067 0.00900843 0.988925
78 0.00205806 0.00832441 0.989618
79 0.00204984 0.0076923 0.990258
80 0.00204228 0.00710815 0.99085
81 0.00203531 0.00656835 0.991396
82 0.00202889 0.00606951 0.991902
83 0.00202298 0.00560854 0.992368
84 0.00201753 0.00518257 0.9928
85 0.00201251 0.00478894 0.993199
86 0.00200788 0.00442519 0.993567
87 0.00200362 0.00408907 0.993907
88 0.00199968 0.00377846 0.994222
89 0.00199605 0.00349145 0.994512
90 0.00199271 0.00322623 0.994781
91 0.00198962 0.00298115 0.995029
92 0.00198677 0.00275469 0.995259
93 0.00198414 0.00254542 0.99547
94 0.00198171 0.00235205 0.995666
95 0.00197947 0.00217337 0.995847
96 0.00197741 0.00200826 0.996014
97 0.0019755 0.00185569 0.996169
98 0.00197374 0.00171471 0.996312
99 0.00197211 0.00158444 0.996443
